County,Company Name,API Hole Number,Well Name,Town,Producing Formation,Months in Production,Gas Produced. MCF,Water Produced. bbl,Reporting Year
9,Great Lakes Energy Partners,16209,Tingue. P 1,Conewango,Medina,12,5904,0,1999
13,Kastle Resources Enterprises. Inc.,12533,Milspaw NY #16,Cherry Creek,Medina,12,1298,0,1997
13,Lenape Resources. Inc.,18061,Barney 735,Sherman,Medina,12,2460,176,1991
13,Lenape Resources. Inc.,18705,Reheiser #230,Ellery,Medina,11,4361,160,1992
121,Stedman Energy. Inc.,18548,Krolick 1,Arcade,Medina,5,1443,1,1992
13,Great Lakes Energy Partners,16357,NYSRA #3-11,Chautauqua,Medina,12,2014,150,1999
37,United States Gypsum Co.,19667,Bauer 2,Alexander,Medina,12,3507,22,1995
13,Great Lakes Energy Partners,18056,Briggs.J 7,Clymer,Medina,12,17120,215,1999
13,Great Lakes Energy Partners,21183,Sprague. R #2,Poland,Medina,10,4722,14,1993
13,Kastle Resources Enterprises. Inc.,18504,Mansfield #4,Cherry Creek,Medina,10,4866,0,1998
51,Big Tree. LLC,16154,Curry 2,Leicester,Medina,12,17661,0,1991
121,United States Gypsum Co.,21123,Forgnone. J #1,Bennington,Medina,10,715,20,1998
13,Belden & Blake Corporation,16478,Ossman Bros. #619,Westfield,Medina,12,3805,29,1992
13,Belden & Blake Corporation,14555,Ferris 592 #1,Westfield,Medina,12,3496,37,1996
9,Great Lakes Energy Partners,17275,Shetler. N #1,Conewango,Medina,11,1396,0,1997
13,Stedman Energy. Inc.,20974,Oyach. F #7345,Chautauqua,Medina,12,4635,60,1991
13,Lenape Resources. Inc.,18155,Willoughby #175,Ellery,Bass Island,0,0,0,1993
13,Stedman Energy. Inc.,16220,NYSRA #6-1,Stockton,Medina,12,3728,50,1993
13,Belden & Blake Corporation,12170,Sam & Sons 1337,Dunkirk,Medina,12,2212,38,1998
13,Belden & Blake Corporation,13759,Propheter 551,Chautauqua,Medina,12,3141,17,1997
13,Belden & Blake Corporation,11256,Zysk 235,Westfield,Medina,12,2130,29,1991
13,Belden & Blake Corporation,10968,Smith 517,Arkwright,Medina,12,6219,34,1992
9,Belden & Blake Corporation,10994,Nannen Zoar 1157,East Otto,Medina,12,1171,8,1999
13,Belden & Blake Corporation,11342,Crandall Unit 326 1,Stockton,Medina,12,1115,20,1997
13,Belden & Blake Corporation,11909,Bernard. W (435),Charlotte,Medina,12,10852,98,1996
13,Belden & Blake Corporation,14462,Markham #1,Westfield,Medina,10,3822,5,1994
13,Belden & Blake Corporation,11254,Dieteman 225,Westfield,Medina,12,1270,33,1999
29,Sorrento Cheese Co.. Inc.,9195,Russo Louis 1,Buffalo,Medina,12,100,44,1997
121,Reisdorf. Charles & Edith,14812,Reisdorf 1,Sheldon,Medina,12,947,123,1995
13,Great Lakes Energy Partners,13221,Wakely 1,Ripley,Medina,10,1762,0,1998
13,Belden & Blake Corporation,18610,Johnson #794,Ellery,Bass Island,12,0,8530,1993
13,Belden & Blake Corporation,16477,Ossman Bros. #618,Westfield,Medina,9,7808,49,1998
121,United States Gypsum Co.,20855,George. D. #1,Sheldon,Medina,12,417,50,1998
13,Kent. John A. and Penny S.,17866,Edwards Ida #1,Harmony,Medina,12,0,154,1999
13,Schreiner Oil & Gas. Inc.,17847,Cochran 670,Ripley,Medina,12,2094,63,1991
13,Great Lakes Energy Partners,12360,Riscili #1,Portland,Medina,12,1300,0,1999
29,Seneca Resources Corp.,3058,Rhinehart #1843-I,Alden,Medina,6,228,0,1993
13,Great Lakes Energy Partners,16392,NYSRA #3-13,Chautauqua,Medina,9,667,43,1994
3,Alma Gas. Inc.,60344,Macken #2091,Alma,Upper Devonian,11,199,2,1994
13,Lenape Resources. Inc.,13788,Miller #1,Kiantone,Medina,8,4923,80,1994
3,Vandermark Exploration. Inc.,21778,Cline & Hale #2,Amity,Oriskany,12,22743,419,1994
13,Lenape Resources. Inc.,18568,Thorpe 675,Ripley,Medina,12,1312,3,1998
13,GFS Energy. Inc.,12864,Willowbrook Cemetary 1,Dunkirk City,Medina,12,5824,50,1997
3,Alma Gas. Inc.,66424,Mulvey #2106,Alma,Upper Devonian,0,0,0,1999
13,Nornew Energy Supply Inc.,15675,Bratt Unit #1,Kiantone,Medina,12,2031,92,1993
29,Stedman Energy. Inc.,19332,Janik #1,Brant,Medina,12,5445,50,1998
37,United States Gypsum Co.,13974,Hegge #1,Alexander,Medina,12,1388,20,1998
13,Lenape Resources. Inc.,11564,Barker J 338,Stockton,Medina,11,542,13,1998
13,Stedman Energy. Inc.,12332,NYSRA #4-1,Harmony,Medina,12,2941,140,1994
13,Belden & Blake Corporation,18772,NYSRA #2-1586,Sherman,Medina,12,6140,263,1993
37,United States Gypsum Co.,20577,Smith (6801),Bethany,Medina,12,6458,44,1998
13,REI-NY. Inc.,17718,Josephson 3,Gerry,Medina,12,13460,105,1995
37,United States Gypsum Co.,19473,Meyers. W. 2,Alexander,Medina,12,1347,42,1995
29,Ardent Resources. Inc.,11975,Clark N1499,Concord,Medina,12,1488,31,1991
9,Great Lakes Energy Partners,19282,Cowen. W #1-B,Conewango,Medina,12,4912,0,1998
13,L. W. Resources,15527,Guilliams #1,Arkwright,Medina,8,1063,0,1993
13,Vineyard Oil & Gas Co.,19022,Bentley. R & W 2,Ripley,Medina,12,2261,35,1993
37,United States Gypsum Co.,20580,Lor-Rob Dairy Farms #15 (6804),Bethany,Medina,12,1700,195,1997
13,Belden & Blake Corporation,10110,Rater Unit 43 1,Ripley,Medina,12,1570,56,1992
13,Lenape Resources. Inc.,18306,Reitz 715,Mina,Medina,12,62,1781,1993
13,Belden & Blake Corporation,11870,Wise 391,Chautauqua,Medina,12,5739,3,2000
13,Great Lakes Energy Partners,17877,Heslink #1,Clymer,Medina,12,2800,115,1994
13,Lenape Resources. Inc.,18142,Gerh 740 #1,Mina,Medina,12,778,2,1996
121,United States Gypsum Co.,17623,Martin. P. #1,Sheldon,Medina,4,665,28,1998
13,Belden & Blake Corporation,11120,Buseck 1,Stockton,Medina,12,5372,75,1993
13,GFS Energy. Inc.,12165,Kraiger #1,Dunkirk City,Medina,12,2449,60,1993
13,Great Lakes Energy Partners,21223,Hall. X #1,Harmony,Medina,8,1588,135,1994
13,Cassadaga Valley Central School,15333,Permit 00561-Fee 1,Gerry,Medina,12,7323,90,1995
29,Sierra Energy. Inc.,18643,Fierle #1,Hamburg,Medina,12,3406,12,1999
29,Stedman Energy. Inc.,19332,Janik 1,Brant,Medina,12,2349,60,1995
29,Great Lakes Energy Partners,22353,Jewish Center #1,Elma,Medina,7,5621,231,1993
13,Belden & Blake Corporation,10707,Meeder 190,Ripley,Medina,12,6194,13,1991
13,Belden & Blake Corporation,11886,Babcock 1 (409),Stockton,Medina,12,2968,4,1992
121,United States Gypsum Co.,21853,Maxon. M. 2,Bennington,Medina,12,1959,46,1995
13,Lenape Resources. Inc.,19822,Thule/Bly #297,Ellery,Medina,12,646,75,2000
13,Belden & Blake Corporation,9871,Knight U10,Ripley,Medina,12,1406,71,1999
37,Clover Oil & Gas Co.,16148,Carroll 1,Darien,Medina,12,3508,30,2000
37,United States Gypsum Co.,17463,Swanson #1,Pembroke,Medina,10,114,20,1997
37,United States Gypsum Co.,21339,Crawford. W & K #1,Alexander,Medina,12,2510,15,1997
29,Seneca Resources Corp.,3024,Denz(Looney)#1815-I,Alden,Medina,12,1993,0,1993
29,Whiting Well Partnership,16999,Whiting 2,Newstead,Medina,12,51985,50,1994
13,Cotton Well Drilling Co.. Inc.,14340,Warnshius #3106,Westfield,Medina,12,4032,0,1994
51,Big Tree. LLC,13979,McBride 2,Leicester,Medina,12,3076,30,1996
13,Great Lakes Energy Partners,22650,Brown. L #6,Clymer,Medina,3,5189,201,1996
13,Great Lakes Energy Partners,18509,Tenpas. W #1,Ellington,Medina,12,3817,412,1997
13,Belden & Blake Corporation,17890,NYSRA #2-1587,Sherman,Bass Island,6,1749,1204,1993
13,Belden & Blake Corporation,14559,Fuchs 596 #1,Westfield,Medina,12,4376,18,1992
13,Stedman Energy. Inc.,16311,NYSRA #6-6,Stockton,Medina,12,2015,50,1993
29,Iroquois Central School,16315,Iroquois Central Hig,Elma,Medina,12,760,30,1999
51,Lenape Resources. Inc.,17478,Stein-Johnson 232,Caledonia,Medina,12,5248,1950,1997
51,Lenape Resources. Inc.,17518,Musshafen-Hill 1 (244),York,Medina,12,938,40,1992
13,Belden & Blake Corporation,12090,Ball Unit 1 (1305),Hanover,Medina,6,1082,14,1998
13,Belden & Blake Corporation,12240,Mohart 488,Arkwright,Medina,12,5987,5,1994
13,Stedman Energy. Inc.,22637,Farnham #1,Chautauqua,Medina,12,6123,75,1997
13,Great Lakes Energy Partners,19746,Stewart. R #4,Hanover,Medina,12,3042,30,1994
37,United States Gypsum Co.,19649,Kruszelnicki #2,Alexander,Medina,12,1888,35,1999
121,United States Gypsum Co.,20846,Youngers. F. #1,Sheldon,Medina,11,1219,83,1999
37,New York Gas & Oil Co. Inc.,17480,Osucha 1,Darien,Medina,12,3670,20,1997
13,Cotton Well Drilling Co.. Inc.,17649,Cotton #1 Ed2,Sheridan,Medina,11,2757,25,1996
13,Nornew. Inc.,13545,Swanson #20604,Harmony,Medina,12,6052,131,1993
13,N.E.A. Cross of N.Y.. Inc.,18500,Deist Unit #1,French Creek,Medina,8,1098,40,1992
29,Stedman Energy. Inc.,16292,Vacco 1,Eden,Medina,12,1250,12,1993
13,Great Lakes Energy Partners,18261,Brainard.E 1,Ellington,Medina,12,5146,25,1999
13,Great Lakes Energy Partners,21191,NYSRA #5-24,Chautauqua,Medina,9,35672,15,1998
13,Vineyard Oil & Gas Co.,19988,Monk 1,Ripley,Medina,12,4200,20,1993
13,Stedman Energy. Inc.,18286,Hill 6,Cherry Creek,Medina,6,638,50,1993
13,L. W. Resources,13711,Yerico #1,Dunkirk City,Medina,12,608,10,1992
13,Great Lakes Energy Partners,16082,Legters. J 3,Clymer,Medina,12,24967,136,1997
29,Stedman Energy. Inc.,19768,Janik 2,Brant,Medina,12,2615,50,1993
13,Great Lakes Energy Partners,15778,Neckers.G 1,Clymer,Medina,12,1523,215,1991
13,Lenape Resources. Inc.,19381,Anderson/Mackenzie #2-283,Ellery,Medina,12,44417,40,1998
13,Great Lakes Energy Partners,15610,Wassink. R 2,Clymer,Medina,12,7870,402,1999
29,Belden & Blake Corporation,22066,Burke D 1,Evans,Medina,12,6266,189,1993
37,United States Gypsum Co.,17362,Bowker #1,Batavia City,Medina,12,6331,25,1997
29,Great Lakes Energy Partners,22357,Biegalaski B #1,Evans,Medina,5,2710,344,1993
13,Great Lakes Energy Partners,17710,Redlecki. J 2,French Creek,Devonian Shale,12,3432,532,1999
29,Ardent Resources. Inc.,10959,Heary Clarence 1,Concord,Medina,3,547,11,1993
13,Kastle Resources Enterprises. Inc.,12511,Nobles NY #36,Cherry Creek,Medina,12,6320,0,1997
13,Belden & Blake Corporation,10087,Zohns 37,Ripley,Medina,11,1523,25,1994
13,Great Lakes Energy Partners,19210,Skillman 2,Ellery,Bass Island,12,7083,155,1997
13,Great Lakes Energy Partners,19903,NYSRA #9-3,Ellington,Medina,12,3505,18,1993
13,Edgewood Investments. Inc.,12654,True Temper 1,Dunkirk,Medina,12,12315,36,1995
13,Nornew. Inc.,13694,Opelecky 20597,Harmony,Medina,12,5180,347,1992